target,stop,horizon,trades,wins,losses,unresolved,win_rate,pf,expectancy,total,max_dd,profit_to_dd
400,150,20,27,10,17,0,0.37037037037037035,1.4338235294117647,43.7037037037037,1180.0,1440.0,0.8194444444444444
400,150,30,27,10,17,0,0.37037037037037035,1.4338235294117647,43.7037037037037,1180.0,1440.0,0.8194444444444444
400,150,45,27,10,17,0,0.37037037037037035,1.4338235294117647,43.7037037037037,1180.0,1440.0,0.8194444444444444
400,150,60,27,10,17,0,0.37037037037037035,1.4338235294117647,43.7037037037037,1180.0,1440.0,0.8194444444444444
350,180,20,27,12,15,0,0.4444444444444444,1.431578947368421,45.55555555555556,1230.0,1520.0,0.8092105263157895
350,180,30,27,12,15,0,0.4444444444444444,1.431578947368421,45.55555555555556,1230.0,1520.0,0.8092105263157895
350,180,45,27,12,15,0,0.4444444444444444,1.431578947368421,45.55555555555556,1230.0,1520.0,0.8092105263157895
350,180,60,27,12,15,0,0.4444444444444444,1.431578947368421,45.55555555555556,1230.0,1520.0,0.8092105263157895
550,80,10,27,5,21,1,0.18518518518518517,1.4285714285714286,30.0,810.0,900.0,0.9
550,80,15,27,5,21,1,0.18518518518518517,1.4285714285714286,30.0,810.0,900.0,0.9
550,80,20,27,5,21,1,0.18518518518518517,1.4285714285714286,30.0,810.0,900.0,0.9
550,180,30,27,9,18,0,0.3333333333333333,1.4210526315789473,53.333333333333336,1440.0,1770.0,0.8135593220338984
550,180,45,27,9,18,0,0.3333333333333333,1.4210526315789473,53.333333333333336,1440.0,1770.0,0.8135593220338984
550,180,60,27,9,18,0,0.3333333333333333,1.4210526315789473,53.333333333333336,1440.0,1770.0,0.8135593220338984
300,180,20,27,13,14,0,0.48148148148148145,1.4172932330827068,41.111111111111114,1110.0,1140.0,0.9736842105263158
300,180,30,27,13,14,0,0.48148148148148145,1.4172932330827068,41.111111111111114,1110.0,1140.0,0.9736842105263158
300,180,45,27,13,14,0,0.48148148148148145,1.4172932330827068,41.111111111111114,1110.0,1140.0,0.9736842105263158
300,180,60,27,13,14,0,0.48148148148148145,1.4172932330827068,41.111111111111114,1110.0,1140.0,0.9736842105263158
600,200,30,27,9,18,0,0.3333333333333333,1.4047619047619047,56.666666666666664,1530.0,1970.0,0.7766497461928934
600,200,45,27,9,18,0,0.3333333333333333,1.4047619047619047,56.666666666666664,1530.0,1970.0,0.7766497461928934
600,200,60,27,9,18,0,0.3333333333333333,1.4047619047619047,56.666666666666664,1530.0,1970.0,0.7766497461928934
550,100,30,27,6,21,0,0.2222222222222222,1.4025974025974026,34.44444444444444,930.0,1220.0,0.7622950819672131
550,100,45,27,6,21,0,0.2222222222222222,1.4025974025974026,34.44444444444444,930.0,1220.0,0.7622950819672131
550,100,60,27,6,21,0,0.2222222222222222,1.4025974025974026,34.44444444444444,930.0,1220.0,0.7622950819672131
550,60,10,27,4,22,1,0.14814814814814814,1.4025974025974026,22.962962962962962,620.0,840.0,0.7380952380952381
550,60,15,27,4,22,1,0.14814814814814814,1.4025974025974026,22.962962962962962,620.0,840.0,0.7380952380952381
