time_utc,time,open,high,low,close,tick_count,tick_volume,spread,real_volume,volume,ema_fast,ema_mid,ema_slow,rsi,atr,adx,momentum,vwap,sweep_high,sweep_low,displacement_up,displacement_down,fvg_bull,fvg_bear,trend_up,trend_down,local_hour,local_minute,session,date,dow,hour_utc,minute_utc,body_points,range_points,upper_wick_ratio,lower_wick_ratio,body_ratio,atr_points,range_atr,body_atr,vol_rel20,prev3_ret_points,prev5_ret_points,prev10_ret_points,prev20_ret_points,ema_fast_slope10_points,vwap_dist_points,ema_slow_dist_points,prev_high20,prev_low20,sweep_high_points,sweep_low_points,bull_engulf,bear_engulf,pinbar_bull,pinbar_bear,inside_bar,outside_bar,long_outcome,long_bars_to_exit,short_outcome,short_bars_to_exit,target_points,stop_points,horizon_bars,candidate_signal,outcome,bars_to_exit,direction,net_points,is_win,side,dir_prev3_ret_points,dir_prev5_ret_points,dir_prev10_ret_points,dir_prev20_ret_points,dir_ema_fast_slope10_points,dir_vwap_dist_points,dir_ema_slow_dist_points,dir_momentum,dir_momentum_points,dir_fvg_confirm,dir_engulf,dir_pinbar,dir_wick_ratio,opposite_wick_ratio,dir_sweep_points,trend_with_trade,trend_against_trade,displacement_body_atr,month
2026-02-24 16:31:00+00:00,1771950660,5121.75,5125.09,5111.01,5113.31,782,782,20,0,0,5115.12249368499,5122.094584471118,5145.888481857106,46.687363898324136,6.014580615679124,32.376201917128505,-1.4899999999997817,,True,False,False,True,False,False,False,True,17,31,NY Open,2026-02-24,Tuesday,16,31,843.99999999996,1407.9999999999927,0.23721590909092066,0.1633522727272865,0.5994318181817928,601.4580615679124,2.3409778502752867,1.40325660911382,1.2247454972592013,0.0,-240.99999999998545,-148.99999999997817,-7.999999999992724,196.8860423085971,,-3257.8481857105544,5122.65,5093.78,244.00000000005093,-1723.0000000000473,False,False,False,False,False,True,-1,1.0,-1,1.0,400,100,15,-1,-1,1.0,SHORT,-110.0,False,SHORT,-0.0,240.99999999998545,148.99999999997817,7.999999999992724,-196.8860423085971,,3257.8481857105544,1.4899999999997817,148.99999999997817,False,False,False,0.23721590909092066,0.1633522727272865,244.00000000005093,True,False,1.40325660911382,2026-02
2026-02-26 16:01:00+00:00,1772121660,5163.18,5166.95,5162.82,5166.88,607,607,20,0,0,5168.763218442702,5171.194636449866,5174.852903183994,44.160497134990614,2.794525749017788,19.581304328570717,-3.5799999999999272,,False,True,True,False,False,False,False,True,17,1,NY Open,2026-02-26,Thursday,16,1,369.9999999999818,413.0000000000109,0.016949152542301966,0.08716707021805631,0.8958837772396417,279.4525749017788,1.4778894062621215,1.324017143624561,1.3458980044345898,-263.0000000000109,-280.0000000000182,-357.9999999999927,-310.99999999996726,-124.80406572676657,,-797.2903183994276,5171.55,5163.14,-460.0000000000364,32.000000000061846,True,False,False,False,False,True,-1,1.0,-1,1.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,-263.0000000000109,-280.0000000000182,-357.9999999999927,-310.99999999996726,-124.80406572676657,,-797.2903183994276,-3.5799999999999272,-357.9999999999927,False,True,False,0.08716707021805631,0.016949152542301966,32.000000000061846,False,True,1.324017143624561,2026-02
2026-02-26 16:31:00+00:00,1772123460,5143.86,5157.68,5139.94,5155.17,857,857,20,0,0,5164.663281016135,5166.976674072454,5172.385350918492,40.00485360656996,5.42243425048988,24.990049222850956,-10.430000000000291,,False,True,True,False,False,True,False,True,17,31,NY Open,2026-02-26,Thursday,16,31,1131.00000000004,1774.0000000000691,0.14148816234498987,0.22096956031566628,0.6375422773393439,542.243425048988,3.2715933804818382,2.0857790943207135,1.849174668249002,-1634.0000000000146,-1400.0,-1043.000000000029,-1039.9999999999636,-138.91231093584793,,-1721.5350918491822,5172.44,5141.62,-1475.9999999999309,168.0000000000291,False,False,False,False,False,False,-1,1.0,1,1.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,-1634.0000000000146,-1400.0,-1043.000000000029,-1039.9999999999636,-138.91231093584793,,-1721.5350918491822,-10.430000000000291,-1043.000000000029,False,False,False,0.22096956031566628,0.14148816234498987,168.0000000000291,False,True,2.0857790943207135,2026-02
2026-03-02 17:47:00+00:00,1772473620,5326.09,5336.71,5325.94,5335.75,735,735,20,0,0,5338.102846400297,5337.9935063147295,5358.622021712845,48.20236366707081,6.625623898420035,11.084495159017568,-8.659999999999854,,False,True,True,False,False,False,False,False,18,47,NY Open,2026-03-02,Monday,17,47,965.9999999999854,1077.0000000000437,0.08913649025069614,0.013927576601721413,0.8969359331475825,662.5623898420035,1.6255072978966827,1.4579759050771663,1.044776119402985,-555.0000000000182,-326.0000000000218,-865.9999999999854,-152.00000000004366,33.34395182910157,,-2287.20217128448,5348.89,5326.01,-1218.000000000029,7.000000000061846,False,False,False,False,False,False,-1,1.0,1,2.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,-555.0000000000182,-326.0000000000218,-865.9999999999854,-152.00000000004366,33.34395182910157,,-2287.20217128448,-8.659999999999854,-865.9999999999854,False,False,False,0.013927576601721413,0.08913649025069614,7.000000000061846,False,False,1.4579759050771663,2026-03
2026-03-06 14:34:00+00:00,1772807640,5085.92,5092.01,5085.41,5090.9,517,517,19,0,0,5088.74527984528,5087.686352420183,5091.07197013275,55.86204099400094,3.1901723393700196,10.89523348716717,1.2799999999997453,,False,True,True,False,False,False,False,False,15,34,NY Open,2026-03-06,Friday,14,34,497.99999999995634,660.0000000000364,0.1681818181818971,0.07727272727275608,0.7545454545453468,319.01723393700195,2.0688537476642095,1.5610441914191353,1.2117660846126803,263.9999999999418,238.9999999999418,127.99999999997453,98.99999999997817,-31.19629216434987,,-17.197013275017525,5096.62,5085.89,-460.99999999996726,48.000000000047294,True,False,False,False,False,True,-1,1.0,-1,4.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,263.9999999999418,238.9999999999418,127.99999999997453,98.99999999997817,-31.19629216434987,,-17.197013275017525,1.2799999999997453,127.99999999997453,False,True,False,0.07727272727275608,0.1681818181818971,48.000000000047294,False,False,1.5610441914191353,2026-03
2026-03-06 15:31:00+00:00,1772811060,5120.24,5123.81,5105.67,5109.03,837,837,19,0,0,5086.755430039154,5083.941115099564,5087.844159014822,68.48129372297073,7.3941229407234905,29.49652865723721,28.599999999999454,,True,False,False,True,True,False,False,False,16,31,NY Open,2026-03-06,Friday,15,31,1121.0000000000036,1814.0000000000327,0.19680264608602835,0.1852260198456236,0.617971334068348,739.412294072349,2.4532997551465363,1.5160689225574568,1.430158052114481,2573.999999999978,2202.9999999999745,2859.9999999999454,3975.0,1007.5817433865268,,2118.584098517749,5122.3,5067.3,151.00000000002183,-3836.999999999989,False,False,False,False,False,False,-1,1.0,-1,1.0,400,100,15,-1,-1,1.0,SHORT,-110.0,False,SHORT,-2573.999999999978,-2202.9999999999745,-2859.9999999999454,-3975.0,-1007.5817433865268,,-2118.584098517749,-28.599999999999454,-2859.9999999999454,False,False,False,0.19680264608602835,0.1852260198456236,151.00000000002183,False,False,1.5160689225574568,2026-03
2026-03-06 17:03:00+00:00,1772816580,5157.44,5158.73,5144.61,5145.5,816,816,19,0,0,5119.319189340372,5107.654964673737,5097.785305601272,70.17612849632394,8.96826742639652,40.14860012539307,43.44999999999982,,True,False,False,True,True,False,True,False,18,3,NY Open,2026-03-06,Friday,17,3,1193.99999999996,1411.999999999989,0.09135977337110295,0.0630311614731115,0.8456090651557856,896.826742639652,1.5744401152044318,1.3313608339617868,1.0498552589256995,1456.00000000004,2455.000000000018,4344.999999999982,5746.000000000004,2379.4392021734893,,4771.469439872817,5157.67,5084.56,105.99999999994907,-6004.999999999927,False,False,False,False,False,False,-1,1.0,-1,1.0,400,100,15,-1,-1,1.0,SHORT,-110.0,False,SHORT,-1456.00000000004,-2455.000000000018,-4344.999999999982,-5746.000000000004,-2379.4392021734893,,-4771.469439872817,-43.44999999999982,-4344.999999999982,False,False,False,0.09135977337110295,0.0630311614731115,105.99999999994907,False,True,1.3313608339617868,2026-03
2026-05-01 16:17:00+00:00,1777652220,4588.38,4591.58,4587.58,4591.58,379,379,20,0,0,4592.619893055894,4592.098808366274,4583.4772941814135,46.72589602771043,2.4578670897779915,14.205372625960381,-3.2200000000002547,,False,True,True,False,False,False,True,False,18,17,NY Open,2026-05-01,Friday,16,17,319.9999999999818,400.0,0.0,0.20000000000004547,0.7999999999999545,245.78670897779915,1.6274272993180046,1.3019418394543296,0.9601013299556681,28.999999999996362,-192.00000000000728,-322.00000000002547,39.00000000003274,-74.52693480763628,,810.2705818586401,4597.23,4588.31,-564.9999999999636,73.0000000000473,False,False,False,False,False,True,-1,2.0,-1,4.0,400,100,15,1,-1,2.0,LONG,-110.0,False,LONG,28.999999999996362,-192.00000000000728,-322.00000000002547,39.00000000003274,-74.52693480763628,,810.2705818586401,-3.2200000000002547,-322.00000000002547,False,False,False,0.20000000000004547,0.0,73.0000000000473,True,False,1.3019418394543296,2026-05
2026-05-05 15:30:00+00:00,1777995000,4573.78,4574.65,4569.03,4569.27,509,509,20,0,0,4567.864457866643,4563.470771400858,4556.082423753758,56.34744452504927,2.898282270540092,46.21205648997256,4.240000000000691,,True,False,False,True,False,False,True,False,17,30,NY Open,2026-05-05,Tuesday,15,30,450.9999999999309,561.9999999999891,0.15480427046261705,0.04270462633464339,0.8024911032027395,289.82822705400923,1.9390795910822756,1.5560941202455325,1.0177964407118576,-311.9999999999891,-355.99999999994907,424.0000000000691,1004.0000000000873,593.2296750815112,,1318.7576246242315,4574.29,4557.98,35.99999999996726,-1105.0000000000182,False,False,False,False,False,True,-1,1.0,-1,9.0,400,100,15,-1,-1,9.0,SHORT,-110.0,False,SHORT,311.9999999999891,355.99999999994907,-424.0000000000691,-1004.0000000000873,-593.2296750815112,,-1318.7576246242315,-4.240000000000691,-424.0000000000691,False,False,False,0.15480427046261705,0.04270462633464339,35.99999999996726,False,True,1.5560941202455325,2026-05
2026-05-06 14:31:00+00:00,1778077860,4704.7,4708.2,4704.32,4708.17,520,520,20,0,0,4710.364093778088,4711.077308450005,4699.062266003178,43.00966992830609,2.663040293401215,22.88202088401599,-3.5399999999999636,,False,True,True,False,False,False,False,False,16,31,NY Open,2026-05-06,Wednesday,14,31,347.00000000002547,388.0000000000109,0.007731958762820746,0.09793814432992227,0.894329896907257,266.3040293401215,1.456981334309667,1.3030219665089622,1.041771010718221,-60.99999999996726,-348.9999999999782,-353.99999999999636,-985.9999999999673,-299.74187238212835,,910.773399682239,4719.03,4704.66,-1082.9999999999927,34.00000000001455,False,False,False,False,False,True,1,2.0,-1,1.0,400,100,15,1,1,2.0,LONG,390.0,True,LONG,-60.99999999996726,-348.9999999999782,-353.99999999999636,-985.9999999999673,-299.74187238212835,,910.773399682239,-3.5399999999999636,-353.99999999999636,False,False,False,0.09793814432992227,0.007731958762820746,34.00000000001455,False,False,1.3030219665089622,2026-05
2026-05-07 15:50:00+00:00,1778169000,4752.08,4752.66,4748.18,4748.35,512,512,20,0,0,4748.198512516788,4744.788402247208,4738.388546331465,52.91248984941383,2.786534857574637,26.146142233476013,-0.5099999999993088,,True,False,False,True,False,False,True,False,17,50,NY Open,2026-05-07,Thursday,15,50,372.99999999995634,447.99999999995634,0.1294642857142821,0.03794642857144851,0.8325892857142694,278.6534857574637,1.607731547955189,1.3385800611323075,1.086472148541114,-108.9999999999236,-225.99999999993088,-50.99999999993088,437.00000000008004,381.2295881702994,,996.1453668535796,4752.64,4737.37,1.9999999999527063,-1081.00000000004,False,True,False,False,False,True,-1,4.0,-1,1.0,400,100,15,-1,-1,1.0,SHORT,-110.0,False,SHORT,108.9999999999236,225.99999999993088,50.99999999993088,-437.00000000008004,-381.2295881702994,,-996.1453668535796,0.5099999999993088,50.99999999993088,False,True,False,0.1294642857142821,0.03794642857144851,1.9999999999527063,False,True,1.3385800611323075,2026-05
2026-05-08 15:44:00+00:00,1778255040,4729.7,4730.77,4723.7,4723.85,648,648,20,0,0,4720.45173951928,4717.131288937188,4717.627898173173,58.10683196517084,4.075812783828559,28.407203727139944,0.5399999999999636,,True,False,False,True,False,False,False,False,17,44,NY Open,2026-05-08,Friday,15,44,584.9999999999454,707.0000000000618,0.15134370579922557,0.021216407355096546,0.8274398868456778,407.58127838285594,1.7346233438522929,1.4352965433570126,1.129904097646033,19.00000000005093,-171.00000000000364,53.99999999999636,1760.0000000000364,826.9962654574556,,622.2101826827384,4729.77,4703.4,100.0,-2030.0000000000182,False,True,False,False,False,False,-1,1.0,1,1.0,400,100,15,-1,1,1.0,SHORT,390.0,True,SHORT,-19.00000000005093,171.00000000000364,-53.99999999999636,-1760.0000000000364,-826.9962654574556,,-622.2101826827384,-0.5399999999999636,-53.99999999999636,False,True,False,0.15134370579922557,0.021216407355096546,100.0,False,False,1.4352965433570126,2026-05
2026-05-14 13:10:00+00:00,1778764200,4698.49,4700.88,4697.52,4700.88,269,269,20,0,0,4699.052291674604,4697.63615301064,4697.406927139072,60.58629007674449,1.5854513200613054,26.558093048373422,1.8900000000003274,,False,True,True,False,False,False,True,False,15,10,NY Open,2026-05-14,Thursday,13,10,239.00000000003274,335.99999999996726,0.0,0.2886904761903094,0.7113095238096906,158.54513200613053,2.119270366415129,1.5074571951587339,0.7768953068592058,106.9999999999709,181.9999999999709,189.00000000003274,85.99999999996726,68.47176445162404,,347.3072860928369,4702.55,4698.18,-167.00000000000728,65.99999999998545,False,False,False,False,False,True,1,1.0,-1,1.0,400,100,15,1,1,1.0,LONG,390.0,True,LONG,106.9999999999709,181.9999999999709,189.00000000003274,85.99999999996726,68.47176445162404,,347.3072860928369,1.8900000000003274,189.00000000003274,False,False,False,0.2886904761903094,0.0,65.99999999998545,True,False,1.5074571951587339,2026-05
2026-05-18 16:43:00+00:00,1779122580,4565.88,4574.28,4564.79,4572.88,735,735,20,0,0,4572.500608838208,4569.649587415501,4557.900977421771,51.29542013678636,4.119127806761293,18.40773104625421,-5.849999999999454,,False,True,True,False,False,False,True,False,18,43,NY Open,2026-05-18,Monday,16,43,700.0,948.9999999999782,0.14752370916750984,0.11485774499474927,0.7376185458377409,411.9127806761293,2.3038857848553604,1.6993888824012535,1.1601294294057296,-239.99999999996362,-390.99999999998545,-584.9999999999454,152.99999999997453,83.66140637263015,,1497.9022578228978,4579.81,4565.32,-553.0000000000655,52.999999999974534,False,False,False,False,False,True,-1,1.0,-1,1.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,-239.99999999996362,-390.99999999998545,-584.9999999999454,152.99999999997453,83.66140637263015,,1497.9022578228978,-5.849999999999454,-584.9999999999454,False,False,False,0.11485774499474927,0.14752370916750984,52.999999999974534,True,False,1.6993888824012535,2026-05
2026-05-20 16:00:00+00:00,1779292800,4496.21,4498.96,4493.92,4498.96,701,701,20,0,0,4499.345513922465,4499.389123505459,4494.393967128399,48.17960162049689,2.15471208503839,27.664681365417763,-3.0299999999997453,,False,True,True,False,False,False,False,False,18,0,NY Open,2026-05-20,Wednesday,16,0,275.0,503.99999999999636,0.0,0.4543650793650754,0.5456349206349246,215.471208503839,2.339059605687489,1.276272602309651,1.6589752691989113,293.0000000000291,68.0000000000291,-302.99999999997453,-347.00000000002547,-272.07163103357743,,456.6032871601237,4505.42,4493.95,-646.0000000000036,2.999999999974534,False,False,False,False,False,True,-1,1.0,1,1.0,400,100,15,1,-1,1.0,LONG,-110.0,False,LONG,293.0000000000291,68.0000000000291,-302.99999999997453,-347.00000000002547,-272.07163103357743,,456.6032871601237,-3.0299999999997453,-302.99999999997453,False,False,False,0.4543650793650754,0.0,2.999999999974534,False,False,1.276272602309651,2026-05
2026-05-20 17:17:00+00:00,1779297420,4497.62,4502.9,4488.43,4489.08,851,851,20,0,0,4481.6345377360685,4485.105608683506,4491.10243216984,57.46231220390593,5.3134149031283595,32.673084972582934,9.289999999999964,,True,False,False,True,True,False,False,True,19,17,NY Open,2026-05-20,Wednesday,17,17,853.9999999999964,1446.9999999999345,0.36489288182446333,0.04492052522457952,0.5901865929509572,531.341490312836,2.7232957079033855,1.6072526154454643,1.2691074491089405,1213.000000000011,2030.0000000000182,928.9999999999964,385.99999999996726,-196.82149355594447,,-202.24321698397034,4497.71,4467.11,518.99999999996,-2132.000000000062,False,False,False,False,False,False,1,1.0,-1,1.0,400,100,15,-1,-1,1.0,SHORT,-110.0,False,SHORT,-1213.000000000011,-2030.0000000000182,-928.9999999999964,-385.99999999996726,196.82149355594447,,202.24321698397034,-9.289999999999964,-928.9999999999964,False,False,False,0.36489288182446333,0.04492052522457952,518.99999999996,True,False,1.6072526154454643,2026-05
