trades,wins,losses,win_rate,pf,expectancy,total,max_dd,filter
18,5,13,0.2777777777777778,1.3636363636363635,28.88888888888889,520.0,990.0,adx > 20
18,5,13,0.2777777777777778,1.3636363636363635,28.88888888888889,520.0,550.0,adx <= 27.8
18,5,13,0.2777777777777778,1.3636363636363635,28.88888888888889,520.0,600.0,range_atr > 1.76
18,5,13,0.2777777777777778,1.3636363636363635,28.88888888888889,520.0,1100.0,body_atr <= 1.56
18,5,13,0.2777777777777778,1.3636363636363635,28.88888888888889,520.0,770.0,dir_wick_ratio > 0.108
18,5,13,0.2777777777777778,1.3636363636363635,28.88888888888889,520.0,770.0,dir_prev5_ret_points <= 58.8
15,4,11,0.26666666666666666,1.2892561983471074,23.333333333333332,350.0,600.0,side == LONG
20,5,15,0.25,1.1818181818181819,15.0,300.0,990.0,body_ratio <= 0.873
20,5,15,0.25,1.1818181818181819,15.0,300.0,1320.0,dir_sweep_points > 31.5
20,5,15,0.25,1.1818181818181819,15.0,300.0,880.0,dir_prev10_ret_points <= 9.5
20,5,15,0.25,1.1818181818181819,15.0,300.0,1210.0,dir_engulf == False
8,2,6,0.25,1.1818181818181819,15.0,120.0,660.0,trend_against_trade == True
13,3,10,0.23076923076923078,1.0636363636363637,5.384615384615385,70.0,490.0,range_atr > 1.95
13,3,10,0.23076923076923078,1.0636363636363637,5.384615384615385,70.0,770.0,dir_wick_ratio > 0.129
13,3,10,0.23076923076923078,1.0636363636363637,5.384615384615385,70.0,880.0,vol_rel20 > 1.16
18,4,14,0.2222222222222222,1.0129870129870129,1.1111111111111112,20.0,1100.0,body_ratio <= 0.857
18,4,14,0.2222222222222222,1.0129870129870129,1.1111111111111112,20.0,990.0,opposite_wick_ratio > 0.00923
18,4,14,0.2222222222222222,1.0129870129870129,1.1111111111111112,20.0,1210.0,dir_sweep_points > 35.2
18,4,14,0.2222222222222222,1.0129870129870129,1.1111111111111112,20.0,710.0,vol_rel20 > 1.07
18,4,14,0.2222222222222222,1.0129870129870129,1.1111111111111112,20.0,930.0,dir_ema_slow_dist_points <= 211
9,2,7,0.2222222222222222,1.0129870129870129,1.1111111111111112,10.0,660.0,rsi <= 48.2
9,2,7,0.2222222222222222,1.0129870129870129,1.1111111111111112,10.0,550.0,body_atr <= 1.34
9,2,7,0.2222222222222222,1.0129870129870129,1.1111111111111112,10.0,440.0,body_ratio <= 0.727
9,2,7,0.2222222222222222,1.0129870129870129,1.1111111111111112,10.0,440.0,dir_wick_ratio > 0.197
9,2,7,0.2222222222222222,1.0129870129870129,1.1111111111111112,10.0,660.0,vol_rel20 > 1.28
9,2,7,0.2222222222222222,1.0129870129870129,1.1111111111111112,10.0,770.0,dir_ema_slow_dist_points <= -816
14,3,11,0.21428571428571427,0.9669421487603306,-2.857142857142857,-40.0,880.0,dir_prev5_ret_points <= -129
14,3,11,0.21428571428571427,0.9669421487603306,-2.857142857142857,-40.0,1100.0,dir_ema_slow_dist_points <= -374
20,4,16,0.2,0.8863636363636364,-10.0,-200.0,1040.0,body_points > 334
20,4,16,0.2,0.8863636363636364,-10.0,-200.0,930.0,vol_rel20 > 1.04
18,3,15,0.16666666666666666,0.7090909090909091,-26.666666666666668,-480.0,1320.0,atr_points > 247
18,3,15,0.16666666666666666,0.7090909090909091,-26.666666666666668,-480.0,870.0,range_points > 468
18,3,15,0.16666666666666666,0.7090909090909091,-26.666666666666668,-480.0,1040.0,body_points > 372
18,3,15,0.16666666666666666,0.7090909090909091,-26.666666666666668,-480.0,930.0,dir_prev10_ret_points <= -90.1
12,2,10,0.16666666666666666,0.7090909090909091,-26.666666666666668,-320.0,880.0,dir_sweep_points > 53
13,2,11,0.15384615384615385,0.6446280991735537,-33.07692307692308,-430.0,660.0,body_points > 451
13,2,11,0.15384615384615385,0.6446280991735537,-33.07692307692308,-430.0,1210.0,opposite_wick_ratio > 0.0379
20,3,17,0.15,0.6256684491978609,-35.0,-700.0,1430.0,atr_points > 233
20,3,17,0.15,0.6256684491978609,-35.0,-700.0,1090.0,range_points > 424
14,2,12,0.14285714285714285,0.5909090909090909,-38.57142857142857,-540.0,930.0,body_ratio <= 0.802
9,1,8,0.1111111111111111,0.4431818181818182,-54.44444444444444,-490.0,660.0,atr_points > 372
9,1,8,0.1111111111111111,0.4431818181818182,-54.44444444444444,-490.0,660.0,range_atr > 2.28
9,1,8,0.1111111111111111,0.4431818181818182,-54.44444444444444,-490.0,880.0,opposite_wick_ratio > 0.0639
9,1,8,0.1111111111111111,0.4431818181818182,-54.44444444444444,-490.0,660.0,dir_sweep_points > 76.6
9,1,8,0.1111111111111111,0.4431818181818182,-54.44444444444444,-490.0,550.0,dir_prev5_ret_points <= -299
13,1,12,0.07692307692307693,0.29545454545454547,-71.53846153846153,-930.0,1100.0,atr_points > 279
13,1,12,0.07692307692307693,0.29545454545454547,-71.53846153846153,-930.0,1100.0,range_points > 562
